"SYMBOL"	"ENSEMBL"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"1"	NA	"ENSG00000280657"	312.044005095288	-25.4867913221312	3.67824113398516	-6.92907027944571	4.236153311553e-12	3.48747551010824e-09
"2"	"GP1BB"	"ENSG00000203618"	324.849329494677	-24.9640531299334	3.67823592789194	-6.78696353886161	1.14518135024512e-11	8.21917209607978e-09
"3"	NA	"ENSG00000257607"	190.675368770511	-24.8335900781289	3.67832589141891	-6.75132949368696	1.46496479006662e-11	1.00014218143304e-08
"4"	NA	"ENSG00000279767"	184.404531699463	-24.7877864302041	3.67833331690374	-6.73886358158248	1.59630185057892e-11	1.06385916903701e-08
"5"	"CLDN22"	"ENSG00000177300"	82.8223691001497	-23.680872754611	3.6786096737661	-6.43745187848835	1.21495823348526e-10	6.80157918269719e-08
"6"	NA	"ENSG00000257342"	1587.26516674202	-13.9515502811132	3.36409696963513	-4.14719028822358	3.36580314334981e-05	0.00336472127805373
"7"	NA	"ENSG00000224919"	95.8282280793561	-9.90174318180021	2.85392386486049	-3.46951903788234	0.000521391114640901	0.0216035879454702
"8"	NA	"ENSG00000272234"	91.8038985860082	-9.83991472168034	2.85610840302196	-3.44521752440105	0.000570600007066709	0.0227516592561314
"9"	NA	"ENSG00000211817"	76.2753709511113	-9.57264256567262	2.79636505835714	-3.42324495046313	0.000618782897477092	0.023894136768623
"10"	NA	"ENSG00000260371"	63.8152207540053	-9.31504202667106	2.82591693321902	-3.29629010576055	0.000979707909859504	0.0311271329226758
"11"	NA	"ENSG00000206588"	51.8819377507264	-9.01661496646336	2.73614953197872	-3.29536630256562	0.000982934630302916	0.0311377102797349
"12"	NA	"ENSG00000258064"	46.4822762496707	-8.86223945126954	1.36758492001287	-6.4802114454334	9.15941662063407e-11	5.34127563808684e-08
"13"	NA	"ENSG00000273149"	1952.42478709021	-8.22189870052373	1.4717438912518	-5.58650098661565	2.31690232722949e-08	6.55074879206876e-06
"14"	NA	"ENSG00000265303"	21.8171915329363	-7.76769743012762	2.55304740217467	-3.04251986215029	0.00234606334032903	0.0497510214172211
"15"	NA	"ENSG00000268677"	17.6618403003789	-7.46148076503803	1.84247805574389	-4.04969857946313	5.1283644567084e-05	0.00449993885604153
"16"	NA	"ENSG00000256349"	13.477124278836	-7.07040033512142	1.87825890446007	-3.76433745014183	0.00016699125233732	0.0104803859734842
"17"	NA	"ENSG00000254762"	11.5703565004123	-6.84839501063737	1.91887977119994	-3.56895471692572	0.000358408361310774	0.0173379188919238
"18"	NA	"ENSG00000229266"	8.5338085224781	-6.41620130572095	1.45080624247426	-4.42250737409188	9.75620184046344e-06	0.00125846011850881
"19"	NA	"ENSG00000245482"	7.32357101566217	-6.18509612202649	1.97168778165973	-3.13695514044318	0.00170712244591805	0.0420634369574756
"20"	NA	"ENSG00000273204"	24.1658923085158	-4.9273245146002	1.0430465048408	-4.72397394721366	2.3128005877402e-06	0.000355701105777121
"21"	"CASC9"	"ENSG00000249395"	44.8115014673874	-3.77329851206238	1.15603542841088	-3.26399902574723	0.00109851543183274	0.0332776465935393
"22"	NA	"ENSG00000215692"	56.4798756574453	-3.42387722886776	0.984786315659324	-3.47677173659286	0.000507489675531366	0.0212470608071406
"23"	NA	"ENSG00000240033"	15.6220169366732	-3.36498426493936	0.836099852571747	-4.02462009123558	5.70673668883697e-05	0.00488324374069958
"24"	"LINC00706"	"ENSG00000281186"	14.5102264311066	-3.31475430581039	0.719077032508904	-4.60973464031386	4.03183258246516e-06	0.000572868151349149
"25"	"LOC100128317"	"ENSG00000233491"	16.1195427801607	-3.18978014300367	0.853231213023883	-3.73847099627189	0.000185142847176854	0.0113398981079373
"26"	"SPRR2G"	"ENSG00000159516"	11.1377553870789	-3.03585162515835	0.784138055680971	-3.87157797426618	0.000108133054520403	0.00778085431640259
"27"	"SPRR2D"	"ENSG00000163216"	16.2026458916179	-2.97882388792002	0.63754527928559	-4.67233306355587	2.97797534144626e-06	0.000431899004054002
"28"	"FGF5"	"ENSG00000138675"	7.38960667493143	-2.90398039059052	0.849236269395312	-3.41951997959091	0.000627317255719169	0.0241198314626858
"29"	"RERGL"	"ENSG00000111404"	62.7399082433257	-2.77351826577707	0.860243226206938	-3.2241093928822	0.00126365117580283	0.0362035415167831
"30"	"BTBD16"	"ENSG00000138152"	35.3883170320242	-2.74834441052037	0.557278538859776	-4.93172483574128	8.15066798184243e-07	0.00014719054676113
"31"	NA	"ENSG00000242396"	490.818531541622	-2.73431087576166	0.718928379521049	-3.8033147023397	0.000142772795266311	0.00942536158561158
"32"	NA	"ENSG00000214161"	10.6733770850669	-2.68583402697788	0.721469300512624	-3.72272808429897	0.000197081736469836	0.0119147189752207
"33"	NA	"ENSG00000276531"	13.2892075639842	-2.57960623213006	0.768196405061183	-3.35800351984803	0.000785076134356211	0.0272643499711721
"34"	"LOC101927159"	"ENSG00000229042"	17.8628834802715	-2.52906414289353	0.627812776246823	-4.02837316884937	5.61641463265091e-05	0.0048521512734739
"35"	"TCP10L2"	"ENSG00000166984"	11.3716669764	-2.50623481062398	0.717922255587507	-3.49095572830936	0.000481295999302656	0.0206235465914689
"36"	NA	"ENSG00000224237"	7.5935703027133	-2.46894459697734	0.799690716694377	-3.08737433789782	0.00201933128618308	0.0456153250966511
"37"	NA	"ENSG00000270412"	38.2261120436147	-2.44589011231386	0.796187072214385	-3.07200430360073	0.00212626659612113	0.0470107003210337
"38"	NA	"ENSG00000248664"	48.0568694845888	-2.44024258812565	0.742369585205338	-3.28709935961437	0.00101225111382888	0.031482134363538
"39"	"MUCL1"	"ENSG00000172551"	81.7473232921098	-2.43724678100326	0.740407962458196	-3.29176198066734	0.000995618366165761	0.0312425489768451
"40"	"ZNF84-DT"	"ENSG00000246394"	20.8397201160946	-2.40895316831439	0.561575908058298	-4.28963054459295	1.78970590711292e-05	0.00202816429336024
"41"	"LOC102724265"	"ENSG00000255980"	16.6047381690495	-2.31418364403977	0.660438998233113	-3.50400816764448	0.000458311300875716	0.0201707415453021
"42"	"NRAP"	"ENSG00000197893"	12.2595026505464	-2.30898543488759	0.606606763476979	-3.80639579692919	0.000141006662211514	0.00934016791582216
"43"	"LOC105371855"	"ENSG00000265702"	176.016707742257	-2.28299953605097	0.563581076467221	-4.05088039925299	5.10252847964645e-05	0.00449993885604153
"44"	NA	"ENSG00000260156"	92.0894007756521	-2.20659666782874	0.43893958379907	-5.02710794212362	4.97932104505126e-07	9.67890106750207e-05
"45"	"HMX2"	"ENSG00000188816"	10.2309326718965	-2.18749887532347	0.688669459410074	-3.17641336556048	0.00149108318415929	0.0390064573904699
"46"	"ABHD14A-ACY1"	"ENSG00000114786"	291.526565508719	-2.17497986637897	0.673962362543226	-3.2271533059674	0.00125028452788927	0.0360419301958276
"47"	"LINC01708"	"ENSG00000224445"	28.4292214790207	-2.17491716248178	0.623189833712757	-3.48997535714656	0.000483065089639058	0.0206235465914689
"48"	NA	"ENSG00000255406"	35.9798116056335	-2.15089570784694	0.680925917809359	-3.15878078890974	0.00158430609012393	0.0403515120733931
"49"	"SCGB1A1"	"ENSG00000149021"	579702.125034638	-2.13994472295035	0.629668856387908	-3.39852400391236	0.000677505173852868	0.0251323017316361
"50"	"PCDHB1"	"ENSG00000171815"	62.4409157653689	-2.10140277848851	0.563701082341793	-3.72786720536107	0.000193107077735042	0.011725076383691
"51"	NA	"ENSG00000273971"	25.2270467467878	-2.09941985822105	0.58419559862923	-3.59369338479643	0.000326023469850936	0.0161803598308467
"52"	"KLK13"	"ENSG00000167759"	492.655331109548	-2.09410147116392	0.535979872228093	-3.90705244668729	9.34288797341988e-05	0.00706802100713502
"53"	NA	"ENSG00000249973"	20.4319669643433	-2.07957324841547	0.671646905195786	-3.09622992725511	0.00195998316251503	0.0450242904229655
"54"	"IVL"	"ENSG00000163207"	117.730722338197	-2.06823814404874	0.670944092054984	-3.08257896379129	0.00205215277160369	0.0458800385223313
"55"	NA	"ENSG00000255446"	602.11718229748	-2.05044835607843	0.586817695729554	-3.49418289700558	0.000475515131721503	0.0206039381610164
"56"	"TCERG1L-AS1"	"ENSG00000230098"	14.5366190903307	-2.00401456928281	0.550066054426019	-3.64322530568434	0.000269242966693673	0.0146142611729831
"57"	"HNF4A"	"ENSG00000101076"	319.041958963774	-1.99795036919576	0.499497187470332	-3.99992316135801	6.33630534927826e-05	0.00527006155375787
"58"	"TCF24"	"ENSG00000261787"	68.6271129520226	-1.98148223394878	0.551303350602386	-3.59417774585207	0.000325417634512547	0.0161803598308467
"59"	"PCP4"	"ENSG00000183036"	103.399190174111	-1.96780258599264	0.468350055246903	-4.20156368926925	2.65077648155963e-05	0.0027685777796767
"60"	"MRLN"	"ENSG00000227877"	96.9051908170079	-1.96385280634485	0.515628408235088	-3.8086590555916	0.000139722457125287	0.00931183642236648
"61"	NA	"ENSG00000279427"	21.3044207796296	-1.95250565594087	0.501138373669694	-3.89614078371853	9.77375900264184e-05	0.00723749439796158
"62"	NA	"ENSG00000257327"	31.665037791665	-1.93581119109751	0.589655073211859	-3.28295520388407	0.00102724987930221	0.0318424710648375
"63"	"CPEB1-AS1"	"ENSG00000259462"	110.19947639201	-1.93368777249568	0.558510454243222	-3.46222305742838	0.000535732950710662	0.0219235395078101
"64"	NA	"ENSG00000279537"	55.0292229508281	-1.92973557094333	0.558746355052023	-3.45368798112993	0.000552976761673495	0.0224227998055597
"65"	NA	"ENSG00000246016"	240.519410951945	-1.92857997071536	0.519304258771728	-3.71377653492943	0.000204189113471523	0.0121605478195349
"66"	"HOXD3"	"ENSG00000128652"	44.8254985175461	-1.92781514369496	0.609357575194081	-3.16368454610735	0.00155785549562166	0.0400054432825192
"67"	"GABRB3"	"ENSG00000166206"	360.307537317236	-1.9145706310216	0.335801217503907	-5.70149996850241	1.18757757664231e-08	3.57435311266613e-06
"68"	NA	"ENSG00000224800"	16.9420520581617	-1.85529798782806	0.529840509583238	-3.50161596607138	0.000462445669093527	0.0202469612675927
"69"	"PPP1R14D"	"ENSG00000166143"	24.8085976092493	-1.85479057751779	0.555823347918354	-3.33701451093099	0.000846835267045181	0.028455901512439
"70"	NA	"ENSG00000272235"	131.925480891611	-1.85364784329268	0.598884582686532	-3.09516707706419	0.00196702059838758	0.0450563613498092
"71"	NA	"ENSG00000265095"	16.7298758751287	-1.84849681781932	0.4724105027533	-3.91290372895168	9.11928970460171e-05	0.00695902409587681
"72"	NA	"ENSG00000226912"	12.5842314214449	-1.84495545780004	0.580479956607101	-3.17832758358063	0.00148127288328409	0.038895224461543
"73"	NA	"ENSG00000224371"	16.0341615497396	-1.83132766182697	0.517148950070822	-3.54119961294744	0.000398312114383847	0.018310480303188
"74"	NA	"ENSG00000184809"	60.8011676543381	-1.8226294718532	0.598924787463984	-3.04316920922697	0.00234100658661511	0.0497510214172211
"75"	"CEACAM5"	"ENSG00000105388"	618.750399888936	-1.81757652013136	0.49008144539698	-3.70872339118873	0.000208306834840525	0.0123010899029982
"76"	NA	"ENSG00000275826"	58.0458082364847	-1.80831116949323	0.533878879357657	-3.38711876309647	0.000706308054259633	0.0257761000609927
"77"	NA	"ENSG00000254561"	35.6969444790909	-1.7989724224278	0.43103733536901	-4.17358839899032	2.99839244481942e-05	0.00305192737901602
"78"	"LOC730338"	"ENSG00000233539"	28.6003699808123	-1.79588390832982	0.565912900784712	-3.17342811206387	0.00150650203923144	0.0391536662768127
"79"	"FCGBP"	"ENSG00000275395"	31292.8582828929	-1.7836547694781	0.510403115611459	-3.49460008162626	0.000474772569307349	0.0206036573449334
"80"	"SERINC4"	"ENSG00000184716"	275.0048628149	-1.77684374537073	0.438159395998575	-4.05524510394502	5.0081759523988e-05	0.00447871735091357
"81"	"LRRC73"	"ENSG00000204052"	810.085108527186	-1.76297868185862	0.524395637754801	-3.3619247662067	0.000774012090600466	0.0269805385155637
