SYMBOL	ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NA	ENSG00000257607	168.7934489	-24.40660364	3.678325205	-6.635249	3.24E-11	1.61E-08
OR2A20P	ENSG00000170356	98.28800034	-23.66995799	3.678481053	-6.434709775	1.24E-10	4.29E-08
NA	ENSG00000257622	86.40744169	-23.49328302	3.678532354	-6.386591378	1.70E-10	5.55E-08
NA	ENSG00000257411	781.6859556	-12.67671371	3.201215975	-3.959968279	7.50E-05	0.001920748
POLR2J2	ENSG00000228049	110.9162082	-9.859596425	2.949470083	-3.34283656	0.000829267	0.013145895
NA	ENSG00000269590	76.93435542	-9.331004774	1.347585276	-6.924240668	4.38E-12	3.51E-09
FAM243A	ENSG00000222018	47.85805641	-8.647202659	2.75076081	-3.143567637	0.001669018	0.022719524
NA	ENSG00000214889	44.93987092	-8.5560877	2.787435052	-3.069520021	0.00214403	0.027517764
NA	ENSG00000207765	31.54099903	-8.045941275	2.656070474	-3.029264982	0.002451496	0.030518601
UGT1A3	ENSG00000243135	30.41794166	-7.993594738	2.670797354	-2.992961906	0.002762842	0.03320948
NA	ENSG00000233653	21.27501395	-7.477035007	2.631627818	-2.841220539	0.004494122	0.047635047
NA	ENSG00000265303	19.30394471	-7.338108691	2.555023864	-2.872031371	0.004078425	0.044389298
NA	ENSG00000281152	16.01223713	-7.061793453	1.636658984	-4.314761671	1.60E-05	0.000534217
NA	ENSG00000260515	15.15196884	-6.989660948	1.754548013	-3.983738773	6.78E-05	0.001768987
NA	ENSG00000256349	11.88668699	-6.636222445	1.862012395	-3.564005515	0.000365238	0.006871257
NA	ENSG00000270386	10.7625053	-6.493912604	1.974957491	-3.288127787	0.00100856	0.015281284
NA	ENSG00000254762	10.20446984	-6.414129923	1.904056706	-3.368665388	0.000755331	0.01218177
NA	ENSG00000280029	9.538838678	-6.324971098	1.769176588	-3.575093149	0.000350103	0.006639507
NA	ENSG00000268173	8.936655087	-6.22496118	1.847459923	-3.369470213	0.000753128	0.01218037
NA	ENSG00000221366	8.103126192	-6.083481074	1.81687567	-3.348319962	0.000813031	0.012967054
NA	ENSG00000229266	7.534914468	-5.983442799	1.470262906	-4.069641405	4.71E-05	0.001303364
NA	ENSG00000253806	35.62662351	-5.696575762	1.45788673	-3.907419998	9.33E-05	0.002285569
LOC105372041	ENSG00000263611	6.021645053	-5.644713749	1.547833175	-3.646848925	0.000265476	0.005270704
C1QL2	ENSG00000144119	5.035313711	-5.385087204	1.530921997	-3.517545124	0.000435558	0.007915942
NRAP	ENSG00000197893	9.548260254	-5.337080127	1.274499732	-4.187588268	2.82E-05	0.000863439
NA	ENSG00000202532	4.454496869	-5.206741498	1.492029956	-3.489703056	0.000483558	0.008566557
NA	ENSG00000263684	8.501794466	-5.16652511	1.821245769	-2.836808297	0.004556696	0.048093509
NA	ENSG00000224667	7.544137401	-4.99680072	1.442780493	-3.463313195	0.000533567	0.009287248
SPRR2A	ENSG00000241794	41.35786626	-4.751471314	0.728099812	-6.52585159	6.76E-11	2.71E-08
NA	ENSG00000226594	5.66642978	-4.566351531	1.502252067	-3.03967066	0.00236837	0.02974722
NA	ENSG00000226960	5.432527358	-4.506277199	1.568327359	-2.873301403	0.004062064	0.044252164
LOC100128317	ENSG00000233491	13.69663791	-4.344125118	1.030570604	-4.21526201	2.49E-05	0.000778144
SPRR2D	ENSG00000163216	13.49908594	-4.311634494	0.94540556	-4.560618931	5.10E-06	0.000212179
LOC100287944	ENSG00000257545	4.752328666	-4.292211498	1.397239601	-3.071922307	0.002126851	0.02733383
NA	ENSG00000254692	498.8986308	-4.140998723	1.401375334	-2.954953339	0.003127163	0.03642074
AMY2A	ENSG00000243480	7.971544877	-4.140675832	1.246152742	-3.322767501	0.000891292	0.013869462
NA	ENSG00000280850	37.65728374	-3.929309023	0.584910329	-6.717797289	1.84E-11	1.00E-08
SPRR2G	ENSG00000159516	9.469097346	-3.823818905	1.011076272	-3.781929226	0.000155618	0.003440799
NA	ENSG00000182722	6.098490809	-3.759965082	1.203578563	-3.123988079	0.001784177	0.023978937
NA	ENSG00000259372	12.04202134	-3.700425509	0.978636013	-3.781207172	0.00015607	0.003445502
PCDHA12	ENSG00000251664	90.08462313	-3.658062782	0.493635821	-7.410448404	1.26E-13	1.81E-10
HTR3E	ENSG00000186038	14.22976264	-3.648584478	1.014814243	-3.595322495	0.00032399	0.006218477
NA	ENSG00000224038	22.39597455	-3.603401185	0.829340474	-4.344899709	1.39E-05	0.000475836
CASC9	ENSG00000249395	39.98178759	-3.573424924	0.933008291	-3.830003397	0.000128141	0.00295115
NA	ENSG00000224371	12.5034436	-3.446833856	0.827071646	-4.167515441	3.08E-05	0.000930211
NA	ENSG00000260403	12.34475861	-3.399194125	0.973445666	-3.491919727	0.000479562	0.008525388
NA	ENSG00000240033	13.76013034	-3.353929671	0.892833549	-3.756500496	0.000172306	0.003715098
CD207	ENSG00000116031	351.1835093	-3.33094603	0.528417618	-6.303624097	2.91E-10	8.90E-08
NA	ENSG00000239774	7.112650257	-3.287766236	1.109313021	-2.963785851	0.003038797	0.035633761
