			log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000207513.1	ENSG00000207513	1	11.63249061	1.986429853	5.855978546	4.74E-09	3.36E-07
ENSG00000177300.6	ENSG00000177300	6	9.73951046	1.532789624	6.354107772	2.10E-10	2.01E-08
ENSG00000254680.1	ENSG00000254680	1	9.702162036	1.53710056	6.311989136	2.75E-10	2.60E-08
ENSG00000272661.1	ENSG00000272661	1	9.64045415	1.538025156	6.268073129	3.66E-10	3.33E-08
ENSG00000279967.1	ENSG00000279967	1	8.338475293	1.65082552	5.051094252	4.39E-07	1.60E-05
ENSG00000277277.2	ENSG00000277277	2	8.238092438	1.675992828	4.915350651	8.86E-07	2.95E-05
ENSG00000274266.1	ENSG00000274266	1	8.208770971	1.731692956	4.740315505	2.13E-06	6.20E-05
ENSG00000156575.2	ENSG00000156575	2	8.166089453	1.868920332	4.369415494	1.25E-05	0.000259203
ENSG00000270066.3	ENSG00000270066	3	8.094139901	1.759690053	4.599753169	4.23E-06	0.000110414
ENSG00000108688.10	ENSG00000108688	10	8.091443184	2.06232913	3.92344901	8.73E-05	0.001214487
ENSG00000259169.1	ENSG00000259169	1	7.97019698	1.881343158	4.236439773	2.27E-05	0.000414853
ENSG00000108700.4	ENSG00000108700	4	7.250671982	0.324321555	22.35642948	1.05E-110	2.38E-106
ENSG00000171855.6	ENSG00000171855	6	6.91450939	1.193995447	5.791068471	6.99E-09	4.68E-07
ENSG00000142515.13	ENSG00000142515	13	6.414584188	1.662690963	3.85795336	0.00011434	0.001499204
ENSG00000171711.2	ENSG00000171711	2	6.149836174	0.765823188	8.030360359	9.72E-16	2.63E-13
ENSG00000181617.5	ENSG00000181617	5	5.916546722	1.182646988	5.002800312	5.65E-07	2.01E-05
ENSG00000259112.1	ENSG00000259112	1	5.768189802	0.685314446	8.416851319	3.87E-17	1.21E-14
ENSG00000169245.5	ENSG00000169245	5	5.258358134	0.857876223	6.129506793	8.82E-10	7.43E-08
ENSG00000268916.4	ENSG00000268916	4	5.081075086	1.109805978	4.578345391	4.69E-06	0.000120404
ENSG00000105205.6	ENSG00000105205	6	5.067743104	1.120937844	4.520984935	6.16E-06	0.000146248
ENSG00000185745.9	ENSG00000185745	9	4.787693253	0.358567719	13.35227069	1.15E-40	3.27E-37
ENSG00000135094.9	ENSG00000135094	9	4.783920906	0.341389811	14.01307464	1.30E-44	5.90E-41
ENSG00000249842.1	ENSG00000249842	1	4.685639544	0.918092382	5.103668905	3.33E-07	1.28E-05
ENSG00000169248.11	ENSG00000169248	11	4.661233919	0.969471516	4.808015337	1.52E-06	4.64E-05
ENSG00000186652.8	ENSG00000186652	8	4.524850821	0.678982484	6.664164291	2.66E-11	3.19E-09
ENSG00000135114.11	ENSG00000135114	11	4.49529485	0.360233644	12.47883123	9.74E-36	1.58E-32
ENSG00000156234.7	ENSG00000156234	7	4.482066774	1.329052081	3.372378584	0.000745219	0.006398598
ENSG00000172724.10	ENSG00000172724	10	4.467576932	1.062248921	4.205772155	2.60E-05	0.000463057
ENSG00000169429.9	ENSG00000169429	9	4.411316263	0.431152214	10.23145915	1.43E-24	1.21E-21
