pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GO_DEFENSE_RESPONSE_TO_VIRUS	1.27E-05	0.001112895	0.72451017	5.453927822	0	104	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,NT5C3A,RTP4,PARP9,IRF7,DTX3L,SHFL,IFI6,ISG20,DDX60,IFITM3,IFI16,STAT1,PMAIP1,TRIM22,IFNA5,IFNB1,IFNA1,IFNA21,DHX58,IFNA10,IFNA17,GBP1,TRIM6,IFNA7,IFNA8,IFNL1,IFNA14,IFI27,ADAR,TREX1,GBP3,IFNA2,TLR3,IL27,IFNA16,IFNA6,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,IFNW1,APOBEC3F,IRF9,TRIM38"
GO_RESPONSE_TO_VIRUS	1.23E-05	0.001112895	0.679953582	5.369529362	0	126	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFI44,IFIT3,HERC5,IFITM1,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,DDX60,IFITM3,IFI16,STAT1,PMAIP1,TRIM22,IFNA5,IFNB1,IFNA1,IFNA21,DHX58,IFNA10,IFNA17,GBP1,TRIM6,IFNA7,IFNA8,IFNL1,IFNA14,IFI27,ADAR,TREX1,GBP3,FMR1,IFNA2,TLR3,LGALS9,IL27,IFNA16,IFNA6,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,IFNW1,APOBEC3F,IRF9,TRIM38,BATF3"
GO_RESPONSE_TO_TYPE_I_INTERFERON	1.38E-05	0.001112895	0.820035233	5.217610699	0	58	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,IFIT3,IFITM1,IFI35,USP18,RSAD2,BST2,OAS2,OAS3,IRF7,SHFL,IFI6,ISG20,IFITM3,STAT1,SP100,IFNA5,XAF1,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,ZBP1,TRIM6,IFNA7,IFNA8,IFNA14,IFI27,ADAR,MYD88,TREX1,IFNA2,PSMB8,IFNA16,IFNA6,IFITM2,IFNA4,IRF9"
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	1.34E-05	0.001112895	0.679711365	4.618600905	0	72	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,STAT1,TRIM14,DYNLT1,IFNB1,TRIM6,IFI27,ADAR,PPIB,POLR2K,FMR1,CHMP2B,IFNA2,CXCL8,LGALS9,PARP10,SUPT4H1,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,TRIM38"
GO_REGULATION_OF_VIRAL_LIFE_CYCLE	1.39E-05	0.001112895	0.737586095	4.616880334	0	55	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,IFI27,ADAR,PPIB,FMR1,CHMP2B,IFNA2,CXCL8,LGALS9,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,TRIM38"
GO_INNATE_IMMUNE_RESPONSE	1.13E-05	0.001112895	0.499007501	4.554816302	0	252	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,C1R,DDX60,IFITM3,IFI16,STAT1,SP100,C1S,TRIM14,TRIM22,CCL2,CFB,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,IFNA17,GBP1,ZBP1,TRIM6,IFNA7,IFNA8,IFNL1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,SOCS1,MT2A,IFNA2,TLR3,PSMB8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,MNDA,LY96,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,PSME2,GCH1,APOBEC3F,IRF9,ACOD1,TRIM38,TICAM2,UBD,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,CGAS,LCN2,FCGR1A"
GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	1.34E-05	0.001112895	0.665892459	4.507745196	0	71	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,SHFL,ISG20,IFITM3,IFI16,STAT1,TRIM14,IFNB1,PARP14,DHX58,TRIM6,ADAR,TREX1,IFNA2,LGALS9,PARP10,IGF1,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,ACOD1,TRIM38"
GO_VIRAL_LIFE_CYCLE	1.32E-05	0.001112895	0.64632572	4.507684237	0	79	"IFIT1,OAS1,ISG15,OASL,MX1,CLDN6,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,CHMP5,IFITM3,IFI16,CCL2,DYNLT1,IFNB1,ACE2,TRIM6,IFI27,ADAR,PPIB,FMR1,CHMP2B,IFNA2,CXCL8,LGALS9,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,CD80,TRIM38"
GO_REGULATION_OF_VIRAL_GENOME_REPLICATION	1.44E-05	0.001112895	0.772677514	4.459255848	0	43	"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,IFI27,ADAR,PPIB,FMR1,CXCL8,PARP10,IFITM2,APOBEC3G,APOBEC3F,TRIM38"
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1.11E-05	0.001112895	0.473748753	4.422425116	0	288	"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,BATF2,C1R,DDX60,IFITM3,IFI16,STAT1,SP100,PMAIP1,C1S,TRIM14,TRIM22,CCL2,CFB,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,IFNA17,GBP1,ZBP1,TRIM6,IFNA7,IFNA8,IFNL1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,SOCS1,MT2A,IFNA2,TLR3,PSMB8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,MNDA,LY96,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,PSME2,GCH1,IFNW1,APOBEC3F,IRF9,ACOD1,TRIM38,TICAM2,UBD,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,CGAS,LCN2,FCGR1A"
