,pathway_BLTL,pval,padj_BLTL,ES_BLTL,NES_BLTL,nMoreExtreme_BLTL,size_BLTL,leadingEdgeA_BLTL,pathway_LoM,pval_LoM,padj_LoM,ES_LoM,NES_LoM,nMoreExtreme_LoM,size_LoM,leadingEdge_LoM
0,GO_DEFENSE_RESPONSE_TO_VIRUS,0.00012734,0.007613499,0.72451017,5.447752213,0,104,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,NT5C3A,RTP4,PARP9,IRF7,DTX3L,SHFL,IFI6,ISG20,DDX60,IFITM3,IFI16,STAT1,PMAIP1,TRIM22,IFNA5,IFNB1,IFNA1,IFNA21,DHX58,IFNA10,IFNA17,GBP1,TRIM6,IFNA7,IFNA8,IFNL1,IFNA14,IFI27,ADAR,TREX1,GBP3,IFNA2,TLR3,IL27,IFNA16,IFNA6,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,IFNW1,APOBEC3F,IRF9,TRIM38",GO_DEFENSE_RESPONSE_TO_VIRUS,0.001029866,0.089541483,0.65376461,3.654791484,0,81,"IFITM1,ISG15,IFI6,IFI44L,MX2,OASL,MX1,OAS1,IFI27,IRF7,RSAD2,IFIT1,ISG20,RTP4,IFIT3,IFITM3,IFNL1,OAS3,BST2,NLRC5,IFIT2,OAS2,IFNB1,TREX1,AIM2,DDX58,IFNL2,HERC5,IFITM2,PML,IFIH1,IRF9,STAT1,BIRC3,DTX3L,PARP9,DHX58,PLSCR1,DDX60,IRF1,SHFL,APOBEC3G,UNC93B1,GBP1,NT5C3A,TRIM22,ZC3H12A,IFIT5,EIF2AK2,CXCL10,APOBEC3F"
1,GO_RESPONSE_TO_VIRUS,0.000124023,0.007613499,0.679953582,5.384226078,0,126,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFI44,IFIT3,HERC5,IFITM1,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,DDX60,IFITM3,IFI16,STAT1,PMAIP1,TRIM22,IFNA5,IFNB1,IFNA1,IFNA21,DHX58,IFNA10,IFNA17,GBP1,TRIM6,IFNA7,IFNA8,IFNL1,IFNA14,IFI27,ADAR,TREX1,GBP3,FMR1,IFNA2,TLR3,LGALS9,IL27,IFNA16,IFNA6,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,IFNW1,APOBEC3F,IRF9,TRIM38,BATF3",GO_RESPONSE_TO_VIRUS,0.001026694,0.089541483,0.649703883,3.71197326,0,96,"IFITM1,ISG15,IFI6,IFI44L,MX2,OASL,MX1,OAS1,IFI27,IRF7,RSAD2,IFIT1,ISG20,RTP4,IFIT3,IFITM3,IFNL1,LGALS9,CCL19,OAS3,BST2,IFI44,NLRC5,CCL5,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,CCL8,DDX58,IFNL2,HERC5,IFITM2,PML,IFIH1,IRF9,STAT1,BIRC3,DTX3L,PARP9,FOSL1,DHX58,PLSCR1,DDX60,IRF1,SHFL,APOBEC3G,BCL3,UNC93B1,GBP1,NT5C3A,TRIM22,ZC3H12A,IFIT5,EIF2AK2,CXCL10,APOBEC3F,BATF3"
2,GO_RESPONSE_TO_TYPE_I_INTERFERON,0.000137024,0.007613499,0.820035233,5.229670972,0,58,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,IFIT3,IFITM1,IFI35,USP18,RSAD2,BST2,OAS2,OAS3,IRF7,SHFL,IFI6,ISG20,IFITM3,STAT1,SP100,IFNA5,XAF1,IFNB1,IFNA1,IFNA21,IFNA10,IFNA17,ZBP1,TRIM6,IFNA7,IFNA8,IFNA14,IFI27,ADAR,MYD88,TREX1,IFNA2,PSMB8,IFNA16,IFNA6,IFITM2,IFNA4,IRF9",GO_RESPONSE_TO_TYPE_I_INTERFERON,0.001117318,0.089541483,0.768630343,3.764110076,0,45,"IFITM1,ISG15,IFI6,ZBP1,MX2,OASL,MX1,OAS1,IFI27,IRF7,IFI35,RSAD2,IFIT1,ISG20,IFIT3,IFITM3,PSMB8,OAS3,BST2,USP18,NLRC5,XAF1,IFIT2,OAS2,IFNB1,TREX1,IFITM2,IRF9,STAT1,HLA-F,HLA-H,IRF1,SHFL"
3,GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM,0.000133103,0.007613499,0.679711365,4.620595032,0,72,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,STAT1,TRIM14,DYNLT1,IFNB1,TRIM6,IFI27,ADAR,PPIB,POLR2K,FMR1,CHMP2B,IFNA2,CXCL8,LGALS9,PARP10,SUPT4H1,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,TRIM38",GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM,0.001079914,0.089541483,0.610278841,3.129837932,0,56,"IFITM1,ISG15,OASL,MX1,OAS1,IFI27,RSAD2,IFIT1,ISG20,IFITM3,LGALS9,OAS3,BST2,CXCL8,CCL5,OAS2,IFNB1,PARP10,TRIM14,CCL8,IFITM2,PML,STAT1,PLSCR1,TRIM21,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,CCL3,APOBEC3F"
4,GO_REGULATION_OF_VIRAL_LIFE_CYCLE,0.000138523,0.007613499,0.737586095,4.616553435,0,55,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,IFI27,ADAR,PPIB,FMR1,CHMP2B,IFNA2,CXCL8,LGALS9,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,TRIM38",GO_REGULATION_OF_VIRAL_LIFE_CYCLE,0.001112347,0.089541483,0.655916896,3.229510424,0,46,"IFITM1,ISG15,OASL,MX1,OAS1,IFI27,RSAD2,IFIT1,ISG20,IFITM3,LGALS9,OAS3,BST2,CXCL8,CCL5,OAS2,IFNB1,PARP10,CCL8,IFITM2,PML,PLSCR1,TRIM21,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,APOBEC3F"
5,GO_INNATE_IMMUNE_RESPONSE,0.00011288,0.007613499,0.499007501,4.55524098,0,252,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,C1R,DDX60,IFITM3,IFI16,STAT1,SP100,C1S,TRIM14,TRIM22,CCL2,CFB,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,IFNA17,GBP1,ZBP1,TRIM6,IFNA7,IFNA8,IFNL1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,SOCS1,MT2A,IFNA2,TLR3,PSMB8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,MNDA,LY96,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,PSME2,GCH1,APOBEC3F,IRF9,ACOD1,TRIM38,TICAM2,UBD,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,CGAS,LCN2,FCGR1A",GO_INNATE_IMMUNE_RESPONSE,0.001003009,0.089541483,0.510627447,3.16333732,0,198,"IFITM1,ISG15,IFI6,ZBP1,MX2,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,IFI35,MT2A,RSAD2,IFIT1,ISG20,IFIT3,CD177,IFITM3,IFNL1,LGALS9,C4B,CCL19,PSMB8,OAS3,C1R,BST2,CFB,USP18,NLRC5,CCL5,FGA,C4A,XAF1,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,TRIM14,CCL8,DDX58,IFNL2,HERC5,IFITM2,PML,APOL1,IFIH1,IGHG4,IRF9,STAT1,SOCS1,PSMB10,HLA-F,BIRC3,HLA-H,DTX3L,PARP9,MUC4,PARP14,DHX58,PLSCR1,TRIM21,DDX60,JAK3,IRF1,SHFL,SAA1,APOBEC3G,UBD,UNC93B1,LAG3,GBP1,TRIM22,CCL7,SOCS3,FGG,IFIT5,SLAMF7,ARID5A,EIF2AK2,CCL3,APOBEC3F,NMI,CSF1,HLA-G,RELB,STAT2,CCL13,CX3CL1,HLA-E,GCH1,CCL2,ADAR,GSDMD,IFNL3,TRIM56,B2M,SAMHD1,APOBEC3A,SFTPA2,TRIM25,EGR1,C1S,MYD88,TLR3,VCAM1,GBP4,TNIP3,GBP2,APOBEC3D,IKBKE,IL27,SP100,C3,DMBT1,MUC1,SERPING1,CEACAM1,RASGRP1,MST1R,TRIM26,LTF"
6,GO_VIRAL_LIFE_CYCLE,0.000132293,0.007613499,0.64632572,4.512027585,0,79,"IFIT1,OAS1,ISG15,OASL,MX1,CLDN6,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,CHMP5,IFITM3,IFI16,CCL2,DYNLT1,IFNB1,ACE2,TRIM6,IFI27,ADAR,PPIB,FMR1,CHMP2B,IFNA2,CXCL8,LGALS9,PARP10,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,CD80,TRIM38",GO_VIRAL_LIFE_CYCLE,0.001079914,0.089541483,0.577202981,2.960207143,0,56,"IFITM1,ISG15,OASL,MX1,OAS1,IFI27,RSAD2,IFIT1,ISG20,IFITM3,LGALS9,OAS3,BST2,CXCL8,CCL5,OAS2,IFNB1,PARP10,CCL8,IFITM2,PML,PLSCR1,TRIM21,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,APOBEC3F"
7,GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS,0.000134174,0.007613499,0.665892459,4.495101413,0,71,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,SHFL,ISG20,IFITM3,IFI16,STAT1,TRIM14,IFNB1,PARP14,DHX58,TRIM6,ADAR,TREX1,IFNA2,LGALS9,PARP10,IGF1,TRIM5,IFITM2,TRIM25,APOBEC3G,APOBEC3F,ACOD1,TRIM38",GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS,0.001054852,0.089541483,0.576129237,3.090410315,0,69,"IFITM1,ISG15,OASL,MX1,OAS1,RSAD2,IFIT1,ISG20,IFITM3,LGALS9,OAS3,BST2,NLRC5,CCL5,OAS2,IFNB1,TREX1,PARP10,TRIM14,CCL8,IFITM2,PML,STAT1,HLA-F,PARP14,DHX58,PLSCR1,TRIM21,SHFL,APOBEC3G,TIMP1,ZC3H12A,IFIT5,SPINK5,EIF2AK2,CCL3,APOBEC3F,NMI,HLA-G"
8,GO_REGULATION_OF_VIRAL_GENOME_REPLICATION,0.000143287,0.007613499,0.772677514,4.439792639,0,43,"IFIT1,OAS1,ISG15,OASL,MX1,IFITM1,PLSCR1,RSAD2,IFIT5,BST2,OAS2,EIF2AK2,OAS3,CCL8,SHFL,ISG20,IFITM3,IFI16,IFNB1,TRIM6,IFI27,ADAR,PPIB,FMR1,CXCL8,PARP10,IFITM2,APOBEC3G,APOBEC3F,TRIM38",GO_REGULATION_OF_VIRAL_GENOME_REPLICATION,0.001140251,0.089541483,0.689104566,3.22468198,0,38,"IFITM1,ISG15,OASL,MX1,OAS1,IFI27,RSAD2,IFIT1,ISG20,IFITM3,OAS3,BST2,CXCL8,CCL5,OAS2,IFNB1,PARP10,CCL8,IFITM2,PLSCR1,SHFL,APOBEC3G,ZC3H12A,IFIT5,EIF2AK2,APOBEC3F"
9,GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.000111272,0.007613499,0.473748753,4.426750066,0,288,"IFIT1,MX2,OAS1,ISG15,OASL,MX1,IFIT2,DDX58,IFI44L,IFIT3,HERC5,IFITM1,IFI35,USP18,IFIH1,PLSCR1,CXCL10,RSAD2,IFIT5,TRIM21,BST2,OAS2,EIF2AK2,OAS3,CCL8,NMI,NT5C3A,RTP4,PARP9,IRF7,CCL11,DTX3L,SHFL,IFI6,ISG20,BATF2,C1R,DDX60,IFITM3,IFI16,STAT1,SP100,PMAIP1,C1S,TRIM14,TRIM22,CCL2,CFB,IFNA5,XAF1,IFNB1,IFNA1,PARP14,IFNA21,DHX58,IFNA10,IFNA17,GBP1,ZBP1,TRIM6,IFNA7,IFNA8,IFNL1,PSMB9,IFNA14,IFI27,B2M,ADAR,MYD88,TREX1,GBP3,SOCS1,MT2A,IFNA2,TLR3,PSMB8,LGALS9,PSMA4,IL27,IFNA16,UBE2D1,DEFB1,PSMA6,IFNA6,MNDA,LY96,TRIM5,IFITM2,TRIM25,IFNA4,APOBEC3G,PSME2,GCH1,IFNW1,APOBEC3F,IRF9,ACOD1,TRIM38,TICAM2,UBD,PSMD8,IL1RAP,VCAM1,AQP4,WDFY1,CFH,CGAS,LCN2,FCGR1A",GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM,0.000999001,0.089541483,0.501228699,3.141028524,0,230,"IFITM1,ISG15,IFI6,IFI44L,ZBP1,MX2,OASL,MX1,OAS1,PSMB9,IFI27,IRF7,IFI35,MT2A,RSAD2,IFIT1,ISG20,RTP4,IFIT3,CD177,IFITM3,IFNL1,LGALS9,C4B,CCL19,BATF2,PSMB8,OAS3,C1R,BST2,CFB,USP18,NLRC5,CCL5,FGA,C4A,XAF1,IFIT2,OAS2,IFNB1,TREX1,LCN2,AIM2,TRIM14,CCL8,DDX58,IFNL2,HERC5,IFITM2,PML,APOL1,IFIH1,IGHG4,IRF9,STAT1,SOCS1,PSMB10,HLA-F,BIRC3,HLA-H,DTX3L,BATF,PARP9,MUC4,PARP14,DHX58,PLSCR1,TRIM21,DDX60,JAK3,IRF1,SHFL,SAA1,APOBEC3G,UBD,BCL3,UNC93B1,LAG3,GBP1,NT5C3A,TRIM22,ZC3H12A,CCL7,SOCS3,FGG,IFIT5,SLAMF7,SPINK5,ARID5A,EIF2AK2,CXCL10,CCL3,APOBEC3F,NMI,CSF1,HLA-G,PMAIP1,RELB,STAT2,CCL13,CX3CL1,HLA-E,GCH1,CCL2,ADAR,GSDMD,IFNL3,TRIM56,B2M,SAMHD1,APOBEC3A,IL22RA1,SFTPA2,TRIM25,EGR1,HP,C1S,DEFB4A,MYD88,IFNE,TLR3,VCAM1,GBP4,TNIP3,GBP2,APOBEC3D,MICB"
