SYMBOL	X.1	day2_log2FoldChange	day2_lfcSE	day2_stat	day2_pvalue	day2_padj	day6_log2FoldChange	day6_lfcSE.	day6_stat	day6_pvalue	day6_padj
RNU1-3	ENSG00000207513	13.06077716	1.547170145	8.441719999	3.13E-17	1.57E-14	11.63249061	1.986429853	5.855978546	4.74E-09	3.36E-07
CLDN22	ENSG00000177300	10.38255677	1.483999583	6.99633402	2.63E-12	6.49E-10	9.73951046	1.532789624	6.354107772	2.10E-10	2.01E-08
FAM243B	ENSG00000277277	8.350441078	1.531193718	5.453549722	4.94E-08	3.78E-06	8.238092438	1.675992828	4.915350651	8.86E-07	2.95E-05
IFNB1	ENSG00000171855	8.026673525	1.237205605	6.48774423	8.71E-11	1.53E-08	6.91450939	1.193995447	5.791068471	6.99E-09	4.68E-07
IFNA1	ENSG00000197919	6.641605359	1.03359467	6.425734916	1.31E-10	2.24E-08	4.124375997	1.384382626	2.979216815	0.002889862	0.017784516
CSAG3	ENSG00000268916	6.55912761	0.958757915	6.841276101	7.85E-12	1.76E-09	5.081075086	1.109805978	4.578345391	4.69E-06	0.000120404
CCL8	ENSG00000108700	6.334958765	0.643521708	9.844203677	7.26E-23	5.80E-20	7.250671982	0.324321555	22.35642948	1.05E-110	2.38E-106
KLK3	ENSG00000142515	6.225112908	1.556795402	3.998671181	6.37E-05	0.001325966	6.414584188	1.662690963	3.85795336	0.00011434	0.001499204
CXCL11	ENSG00000169248	5.820983938	0.973717165	5.9781055	2.26E-09	2.56E-07	4.661233919	0.969471516	4.808015337	1.52E-06	4.64E-05
NDUFC2-KCTD14	ENSG00000259112	5.819868037	0.740640069	7.857889789	3.91E-15	1.54E-12	5.768189802	0.685314446	8.416851319	3.87E-17	1.21E-14
CXCL10	ENSG00000169245	5.706917196	0.557544568	10.2358045	1.37E-24	1.55E-21	5.258358134	0.857876223	6.129506793	8.82E-10	7.43E-08
CCL7	ENSG00000108688	5.460283216	1.548447324	3.526295749	0.000421416	0.005399891	8.091443184	2.06232913	3.92344901	8.73E-05	0.001214487
CXCL5	ENSG00000163735	5.422917405	1.320968582	4.105258427	4.04E-05	0.000929741	2.83565824	0.601952858	4.710764646	2.47E-06	7.04E-05
IFIT1	ENSG00000185745	5.338122693	0.263064621	20.29205856	1.51E-91	4.11E-87	4.787693253	0.358567719	13.35227069	1.15E-40	3.27E-37
ISG15	ENSG00000187608	5.32042654	0.404257651	13.16097921	1.47E-39	8.00E-36	4.227841668	0.367018354	11.51942845	1.05E-30	1.26E-27
DEFB4A	ENSG00000171711	5.200680856	1.414140777	3.677625977	0.000235415	0.003515279	6.149836174	0.765823188	8.030360359	9.72E-16	2.63E-13
DEFB4B	ENSG00000171711	5.200680856	1.414140777	3.677625977	0.000235415	0.003515279	6.149836174	0.765823188	8.030360359	9.72E-16	2.63E-13
OASL	ENSG00000135114	5.184442325	0.39824705	13.01815627	9.65E-39	4.37E-35	4.49529485	0.360233644	12.47883123	9.74E-36	1.58E-32
NKAIN1	ENSG00000084628	5.030236362	0.601253923	8.366242903	5.95E-17	2.83E-14	3.62825727	0.65112039	5.572329368	2.51E-08	1.40E-06
MX2	ENSG00000183486	4.90611924	0.331585275	14.79595027	1.56E-49	2.11E-45	4.27322793	0.289779786	14.74646659	3.24E-49	1.84E-45
CRAT37	ENSG00000258551	4.847785183	0.756787832	6.405738805	1.50E-10	2.52E-08	2.566031234	0.754123487	3.402667173	0.000667315	0.005889658
IFIT2	ENSG00000119922	4.75250725	0.368836241	12.88514177	5.46E-38	1.85E-34	3.832315999	0.304549993	12.58353666	2.60E-36	4.55E-33
IFNL1	ENSG00000182393	4.728054391	0.792223521	5.968081313	2.40E-09	2.68E-07	3.438621362	0.853987204	4.026549045	5.66E-05	0.000861781
IL1RN	ENSG00000136689	4.65517362	0.636078915	7.318547287	2.51E-13	7.48E-11	4.397651419	0.273829201	16.05983367	4.88E-58	5.55E-54
CCL20	ENSG00000115009	4.606504103	1.301312816	3.539889906	0.000400294	0.005200376	3.396720526	1.231862183	2.757386803	0.005826538	0.029839779
TSIX	ENSG00000270641	4.362935416	1.120430889	3.893979947	9.86E-05	0.001837323	4.24533987	1.284210225	3.305798216	0.000947063	0.007696194
